And_ver , Count
1.0 and up , 2
1.5 and up , 20
1.6 and up , 116
2.0.1 and up , 7
2.0 and up , 32
2.1 and up , 134
2.2 and up , 244
2.2 - 7.1.1 , 1
2.3.3 and up , 281
2.3 and up , 652
3.0 and up , 241
3.1 and up , 10
3.2 and up , 36
4.0.3 and up , 1501
4.0.3 - 7.1.1 , 2
4.0 and up , 1376
4.1 and up , 2451
4.1 - 7.1.1 , 1
4.2 and up , 394
4.3 and up , 243
4.4W and up , 12
4.4 and up , 980
5.0 and up , 601
5.0 - 6.0 , 1
5.0 - 7.1.1 , 1
5.0 - 8.0 , 2
5.1 and up , 24
6.0 and up , 60
7.0 and up , 42
7.0 - 7.1.1 , 1
7.1 and up , 3
8.0 and up , 6
NaN , 2
